Piloto,Country,Points,Win,Podium,Top 10,FL,Pole,DOTD,CD,DNF,Entries,Equipe,teamcolor,,best,worst,3piores,final,Display
gunner,br,489,7,21,22,4,4,0,0,1,24,Racing Bulls,6692ff,,P1,P11,27,462,Jederson Gunner
quezadoe,nz,314,0,2,20,0,0,0,0,1,24,Mercedes,22cfb2ff,,P3,P15,13,301,Eric Quezadoe
carlos,au,353,0,9,20,0,0,1,5,2,23,Mercedes,22cfb2ff,,P2,P11,0,353,Carlos Martins
tahariel,br,205,0,1,9,0,0,1,0,4,23,Ferrari,e80020,,P3,P17,0,205,Adriano Tahariel
verdugo,ar,174,0,0,9,0,0,0,1,7,22,Aston Martin,229971,,P5,P15,0,174,Matias Verdugo
henrique,br,532,12,21,22,10,14,1,3,0,22,Aston Martin,229971,,P1,P4,18,514,Henrique Novaes
hiran,br,241,0,1,14,0,0,2,0,1,22,Ferrari,e80020,,P3,P19,0,241,Hiran Pelosi
joao,pt,143,0,0,6,0,0,2,0,5,22,Williams,64c4ff,,P6,P18,0,143,João Feliz
rafael lemes,br,231,0,1,12,0,0,2,2,0,20,McLaren,ff8000,,P3,P14,0,231,Rafael Lemes
alexandro,br,206,0,0,11,0,0,0,1,2,21,Red Bull,3671c6,,P6,P14,0,206,Alexandro Castro
rudnei,br,230,0,0,12,0,0,0,1,2,21,McLaren,ff8000,,P4,P19,0,230,Rudnei Cecchetti
wellington,br,231,0,0,14,2,0,1,0,2,19,Sauber,00ff00,,P4,P16,0,231,Wellington
andres,ar,228,2,5,13,0,3,1,1,3,16,Alpine,0093cc,,P1,P9,0,228,Andrés Facundo
razor,gb,150,0,0,9,0,0,0,0,3,16,APX,858200ff,,P4,P14,0,150,Danny Razor
ricardo,de,116,0,0,3,0,0,0,0,0,13,Racing Bulls,6692ff,,P9,P16,0,116,Ricardo
heliakim,br,112,0,1,7,0,0,2,1,3,12,Red Bull,3671c6,,P2,P20,0,112,Heliakim Antonio 
gilvan,br,99,0,0,6,0,0,0,0,2,11,Sauber,00ff00,,P7,P18,0,99,Gilvan
jean,br,50,0,0,0,0,0,0,0,2,9,Haas,a5a9acff,,P11,P17,0,50,Jean Rodrigo
ftronc,us,102,0,0,7,0,0,1,1,1,8,Alpine,0093cc,,P5,P8,0,102,Fabricio Tronc
jestem,pl,122,1,3,5,3,0,1,0,1,9,Williams,64c4ff,,P1,P16,0,122,Thomasz Jestem
rafael sanches,br,40,0,1,2,1,1,0,0,2,4,Aston Martin,229971,,P2,P4,0,40,Rafael Sanches
bruno,br,48,1,2,2,1,1,0,0,0,2,Red Bull,3671c6,,P1,P1,0,48,Bruno
micaely,br,18,0,1,1,0,0,0,0,0,1,APX,858200ff,,P3,P3,0,18,Micaely Gusmão
rafael lava,br,63,1,2,3,1,0,0,0,1,4,Alpine,0093cc,,P2,P21,0,63,Rafael Lavacar
joaquín,ar,58,0,1,3,0,0,0,0,0,4,Haas,a5a9acff,,P2,P11,0,58,Joaquín
vikuluca,br,27,0,0,0,0,0,0,0,0,0,Haas,a5a9acff,,P12,P14,0,27,Claudio Vikuluka
victor,br,20,,,,,,,,,,Sauber,00ff00,,,,,20,Victor
Hernan,ar,112,,,,,,,,,,Alpine,0093cc,,,,,112,Hernan
editHaas,br,149,,,,,,,,,,Haas,,,,,,149,
editAM,br,-149,,,,,,,,,,Aston Martin,,,,,,-149,
