,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31
GP,au,cn,cn,jp,be,be,hu,bh,sa,us,us,nl,it,it,az,mc,sg,es,us,us,mx,ca,br,br,at,at,us,qa,ae,ae,gb
P1,Antonino,Antonino,Thiago,Antonino,Teodoro,Teodoro,Matias Verdugo,Antonino,Marcio Schuchter,Teodoro,Teodoro,Antonino,Antonino,Antonino,Heliakim,Antonino,Rodrigo Guaxi,Antonino,Antonino,Wellington,Rodrigo Guaxi,Rodrigo Guaxi,Rodrigo Guaxi,Antonino,,,,,,,
P2,Teodoro,Gaston,Teodoro,Marcio Schuchter,Erick,Marcio Schuchter,Teodoro,Joaquín,Antonino,Antonino,Antonino,Heliakim,Iranildo,Wellington,Rodrigo Guaxi,Heliakim,Antonino,Rodrigo Guaxi,Marcio Schuchter,Rodrigo Guaxi,Antonino,Antonino,Antonino,Wellington,,,,,,,
P3,Wellington,Marcio Schuchter,Antonino,Jo Caiana,Julian,Iranildo,Thiago,Thiago,Wellington,Hernan,Hernan,Teodoro,Erick,Teodoro,Antonino,Ronaldo Lisboa,Teodoro,Wellington,Wellington,Marcio Schuchter,Julio,Joaquín,Joaquín,Rodrigo Guaxi,,,,,,,
P4,Marcio Schuchter,Hiran Pelosi,Gaston,Rafael Lemes,Gaston,Danilo,Heliakim,Wellington,Heliakim,Hiran Pelosi,Iranildo,Wellington,Marcio Schuchter,Thiago,Teodoro,Teodoro,Marcio Schuchter,Marcio Schuchter,Rodrigo Guaxi,Antonino,Wellington,Wellington,Rafael Lemes,Hiran Pelosi,,,,,,,
P5,Thiago,Aysllan,Rafael Lemes,Hiran Pelosi,Matias Verdugo,Julian,Antonino,Iranildo,Joaquín,Iranildo,Hiran Pelosi,Marcio Schuchter,Jo Caiana,Jo Caiana,Thiago,Adriano Tahariel,Joaquín,Joaquín,Jo Caiana,Matias Verdugo,Rossi,Ronaldo Lisboa,Hiran Pelosi,Rafael Lemes,,,,,,,
P6,Hernan,Matias Verdugo,Hiran Pelosi,Aysllan,Antonino,Wellington,Jo Caiana,Hernan,Aysllan,Ronaldo Lisboa,Wellington,Ronaldo Lisboa,Aysllan,Heliakim,Iranildo,Thiago,Jo Caiana,Teodoro,Matias Verdugo,Joaquín,Iranildo,Hiran Pelosi,Marcio Schuchter,Joaquín,,,,,,,
P7,Julian,Joaquín,Marcio Schuchter,Matias Verdugo,Thiago,Gaston,Aysllan,Rafael Lemes,Ronaldo Lisboa,Wellington,Julian,Hiran Pelosi,Hiran Pelosi,Marcio Schuchter,Ronaldo Lisboa,Wellington,Heliakim,Hiran Pelosi,Joaquín,Ronaldo Lisboa,Rafael Lemes,Marcio Schuchter,Ronaldo Lisboa,Jo Caiana,,,,,,,
P8,Jo Caiana,Teodoro,Aysllan,Danilo,Hiran Pelosi,Aysllan,Wellington,Marcio Schuchter,Matias Verdugo,Marcio Schuchter,Ronaldo Lisboa,Matias Verdugo,Rafael Lemes,Rafael Lemes,Wellington,Rodrigo Guaxi,Ronaldo Lisboa,Ronaldo Lisboa,Rafael Lemes,Jo Caiana,Ronaldo Lisboa,Iranildo,Edson,Vikuluca,,,,,,,
P9,Ronaldo Lisboa,Julian,Julian,Michael Lopes,Marcio Schuchter,Rafael Lemes,Hiran Pelosi,Julian,Rafael Lemes,Julian,Adriano Tahariel,Jo Caiana,Michael Lopes,Joaquín,Rafael Lemes,Matias Verdugo,Hiran Pelosi,Rafael Lemes,Ronaldo Lisboa,Adriano Tahariel,Marcio Schuchter,Vikuluca,Adriano Tahariel,Ronaldo Lisboa,,,,,,,
