,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31
GP,au,cn,cn,jp,be,be,hu,bh,sa,us,us,nl,it,it,az,mc,sg,es,us,us,mx,ca,br,br,at,at,us,qa,ae,ae,gb
P1,Andresito,Gunner,Gunner,Gunner,Gunner,Gunner,Gunner,Gunner,Henrique Novaes,Henrique Novaes,Henrique Novaes,Jestem,Andresito,Henrique Novaes,Henrique Novaes,,,,,,,,,,,,,,,,
P2,Carlos Martins,Rafael Sanches,Heliakim,Carlos Martins,Henrique Novaes,Henrique Novaes,Henrique Novaes,Henrique Novaes,Gunner,Gunner,Gunner,Gunner,Gunner,Gunner,Gunner,,,,,,,,,,,,,,,,
P3,Gunner,Andresito,Hiran Pelosi,Henrique Novaes,Jestem,Jestem,Micaely,Rafael Lemes,Andresito,Andresito,Carlos Martins,Henrique Novaes,Henrique Novaes,Carlos Martins,Quezadoe,,,,,,,,,,,,,,,,
P4,Henrique Novaes,Razor,Well,Rafael Sanches,Andresito,Hernan,Andresito,Quezadoe,Carlos Martins,Hernan,Andresito,Carlos Martins,Rudnei,Andresito,Well,,,,,,,,,,,,,,,,
P5,Hernan,Carlos Martins,Verdugo,Hernan,Quezadoe,Quezadoe,Well,Rudnei,Hernan,Carlos Martins,Well,Hernan,Carlos Martins,Well,Rafael Lemes,,,,,,,,,,,,,,,,
P6,Razor,Hernan,Rafael Lemes,Andresito,Razor,Hiran Pelosi,Razor,Verdugo,Well,Hiran Pelosi,Quezadoe,Heliakim,Well,Quezadoe,Rudnei,,,,,,,,,,,,,,,,
P7,Gilvan,Gilvan,Andresito,Quezadoe,Well,Carlos Martins,Carlos Martins,Alexandro,Alexandro,Well,Alexandro,Andresito,Quezadoe,Rudnei,João Feliz,,,,,,,,,,,,,,,,
P8,Hiran Pelosi,Quezadoe,Razor,Verdugo,Heliakim,Well,Verdugo,Razor,Gilvan,Adriano Tahariel,Rafael Lemes,Hiran Pelosi,Adriano Tahariel,Hiran Pelosi,Alexandro,,,,,,,,,,,,,,,,
P9,Quezadoe,Alexandro,Carlos Martins,Heliakim,Gilvan,Andresito,Quezadoe,Hiran Pelosi,Quezadoe,Rafael Lemes,Rudnei,Rafael Lemes,Gilvan,Rafael Lemes,Razor,,,,,,,,,,,,,,,,
P10,Ricardo,Rudnei,Alexandro,Hiran Pelosi,Rafael Lemes,Verdugo,Hiran Pelosi,Heliakim,João Feliz,Alexandro,Adriano Tahariel,Quezadoe,Verdugo,Gilvan,Verdugo,,,,,,,,,,,,,,,,
P11,Rudnei,Rafael Lemes,Ricardo,Alexandro,Jean Rodrigo,Razor,Gilvan,Gilvan,Adriano Tahariel,Verdugo,Ricardo,Ricardo,Hiran Pelosi,Adriano Tahariel,Heliakim,,,,,,,,,,,,,,,,
P12,Alexandro,Ricardo,Rudnei,Rafael Lemes,Verdugo,Adriano Tahariel,Adriano Tahariel,Ricardo,Ricardo,Rudnei,Hiran Pelosi,Adriano Tahariel,Jean Rodrigo,Verdugo,,,,,,,,,,,,,,,,,
P13,Well,Jean Rodrigo,Quezadoe,Adriano Tahariel,Hiran Pelosi,Rafael Lemes,Rafael Lemes,Well,Hiran Pelosi,Ricardo,Hernan,João Feliz,Rafael Lemes,João Feliz,,,,,,,,,,,,,,,,,
P14,,Jestem,Jean Rodrigo,Razor,Alexandro,Alexandro,Alexandro,João Feliz,Rafael Lemes,Quezadoe,,,Alexandro,,,,,,,,,,,,,,,,,,
P15,,Verdugo,João Feliz,Ricardo,Rudnei,Ricardo,Jean Rodrigo,Jean Rodrigo,,João Feliz,,,,,,,,,,,,,,,,,,,,,
P16,,Well,Jestem,João Feliz,Ricardo,João Feliz,,,,,,,,,,,,,,,,,,,,,,,,,
P17,,Adriano Tahariel,,,,Jean Rodrigo,,,,,,,,,,,,,,,,,,,,,,,,,
P18,,João Feliz,,,,Gilvan,,,,,,,,,,,,,,,,,,,,,,,,,
P19,,Hiran Pelosi,,,,Rudnei,,,,,,,,,,,,,,,,,,,,,,,,,
P20,,,,,,Heliakim,,,,,,,,,,,,,,,,,,,,,,,,,
P21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P23,Adriano Tahariel,Heliakim,Rafael Sanches,Gilvan,João Feliz,Carlos Martins,Rafael Sanches,Andresito,,,João Feliz,Razor,Heliakim,Jean Rodrigo,Andresito,,,,,,,,,,,,,,,,
P24,João Feliz,,Hernan,,Hernan,,Jestem,,Rudnei,,Verdugo,Verdugo,,,Jean Rodrigo,,,,,,,,,,,,,,,,
P25,Verdugo,,Gilvan,,Martins,,,,Verdugo,,,Well,,,Carlos Martins,,,,,,,,,,,,,,,,
P26,,,Adriano Tahariel,,Adriano Tahariel,,,,Razor,,,Alexandro,,,Adriano Tahariel,,,,,,,,,,,,,,,,
P27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P40,,,,,,,,,,,,,,Heliakim,,,,,,,,,,,,,,,,,
P41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P44,Rafael Lemes,Henrique Novaes,Henrique Novaes,Well,Carlos Martins,Rafael Sanches,Hernan,Carlos Martins,Heliakim,Razor,Razor,Jean Rodrigo,Rafael Sanches,Rafael Sanches,Rafael Sanches,,,,,,,,,,,,,,,,
P45,Heliakim,Micaely,Micaely,Rudnei,Rafael Sanches,Micaely,Ricardo,Hernan,Jestem,Gilvan,Gilvan,Rudnei,Micaely,Micaely,Micaely,,,,,,,,,,,,,,,,
P46,Jestem,,,Jestem,Micaely,,Heliakim,Jestem,Rafael Sanches,Heliakim,Heliakim,Rafael Sanches,Hernan,Hernan,Hernan,,,,,,,,,,,,,,,,
P47,Rafael Sanches,,,Jean Rodrigo,,,Rudnei,Rafael Sanches,Jean Rodrigo,Jestem,Jestem,Micaely,João Feliz,Ricardo,Ricardo,,,,,,,,,,,,,,,,
P48,Jean Rodrigo,,,Micaely,,,João Feliz,Adriano Tahariel,Micaely,Rafael Sanches,Rafael Sanches,Gilvan,Ricardo,Alexandro,Gilvan,,,,,,,,,,,,,,,,
P49,Micaely,,,,,,,Micaely,,Jean Rodrigo,Jean Rodrigo,,Jestem,Jestem,Hiran Pelosi,,,,,,,,,,,,,,,,
P50,,,,,,,,,,Micaely,Micaely,,Razor,Razor,Jestem,,,,,,,,,,,,,,,,
P51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,Well,Gunner,Rafael Sanches,Henrique Novaes,Henrique Novaes,Jestem,Henrique Novaes,Well,Gunner,Henrique Novaes,Henrique Novaes,Jestem,Henrique Novaes,,Henrique Novaes,,,,,,,,,,,,,,,,
Pole,Andresito,Rafael Sanches,Gunner,Andresito,Gunner,Gunner,Henrique Novaes,Henrique Novaes,Gunner,Henrique Novaes,Henrique Novaes,Henrique Novaes,Andresito,Henrique Novaes,Henrique Novaes,,,,,,,,,,,,,,,,
DOTD,Hiran Pelosi,,Rafael Lemes,,,Well,Hiran Pelosi,,Andresito,,,Heliakim,Henrique Novaes,Rafael Lemes,João Feliz,,,,,,,,,,,,,,,,
CD,Carlos Martins,,Rafael Lemes,Henrique Novaes,,Verdugo,Alexandro,Heliakim,Andresito,,Carlos Martins,,Henrique Novaes,Rafael Lemes,,,,,,,,,,,,,,,,,
