Piloto,Country,Points,Win,Podium,Top 10,FL,Pole,DOTD,CD,DNF,Entries,Equipe,teamcolor,,best,worst,3piores,final
Adriano Tahariel,br,83,0,0,3,0,0,0,0,4,15,AIX,67e70d,,P5,P20,0,83
Andres,ar,0,0,0,0,0,0,0,0,2,3,Trident,293780,,P20,P20,0,0
Antonino,ar,353,8,13,15,5,11,0,4,0,16,Rodin,27292D,,P1,P19,33,320
Aysllan,br,141,0,0,8,0,0,2,2,1,12,VAR,C86124,,P5,P14,0,141
Danilo,br,64,0,0,3,0,0,1,0,4,12,MP,293780,,P4,P19,0,64
Erick,br,65,0,2,2,0,0,0,0,7,14,Campos Racing,bf2c09,,P2,P20,0,65
Gaston,ar,78,0,1,4,0,0,0,0,1,6,Dams,159ecb,,P2,P11,0,78
Heliakim,br,137,1,3,7,2,0,0,0,3,11,AIX,67e70d,,P1,P11,0,137
Rodrigo Guaxi,br,33,0,1,2,0,0,0,0,0,2,Trident,293780,,P2,P8,0,33
Hiran Pelosi,br,174,0,0,10,0,0,0,0,1,15,ART,D00000,,P4,P15,6,168
Iranildo,br,129,0,2,6,0,0,4,0,3,13,Hitech,8a8b94,,P2,P17,0,129
Jo Caiana,br,150,0,1,7,0,0,2,1,2,15,Invicta,FDFE01,,P3,P17,0,150
Joaquín,ar,128,0,1,6,0,0,0,0,3,15,Rodin,27292D,,P2,P16,0,128
Julian,ar,135,0,1,8,0,1,1,1,1,12,Dams,159ecb,,P3,P15,0,135
Leonardo,br,36,0,0,0,0,0,0,2,1,6,Hitech,8a8b94,,P12,P19,0,36
Marcio Schuchter,br,225,1,4,14,0,0,0,1,1,16,Prema,ED0100,,P1,P12,20,205
Matias Verdugo,ar,145,1,1,7,0,0,0,0,3,15,MP,e26606,,P1,P17,0,145
Michael Lopes,br,69,0,0,3,0,0,0,0,2,11,Invicta,FDFE01,,P9,P18,0,69
Rafael Lemes,br,171,0,0,9,0,0,0,0,0,16,Campos Racing,bf2c09,,P4,P17,15,156
Ronaldo Lisboa,br,169,0,1,8,0,0,1,0,1,16,VAR,C86124,,P3,P15,12,157
Teodoro,br,244,4,9,12,2,0,0,1,1,15,Trident,293780,,P1,P15,6,238
Thiago,br,191,1,3,10,3,0,0,1,1,15,Prema,ED0100,,P1,P14,7,184
Wellington,br,190,0,3,11,1,0,3,0,1,13,ART,D00000,,P2,P12,0,190
